/a0 X,/a0 Y,/a1 X,/a1 Y,/a2 X,/a2 Y,/a3 X,/a3 Y,/b0 X,/b0 Y,/b1 X,/b1 Y,/b2 X,/b2 Y,/b3 X,/b3 Y,/s0 X,/s0 Y,/s1 X,/s1 Y,/s2 X,/s2 Y,/s3 X,/s3 Y,/a4 X,/a4 Y,/a5 X,/a5 Y,/a6 X,/a6 Y,/a7 X,/a7 Y,/b4 X,/b4 Y,/b5 X,/b5 Y,/b6 X,/b6 Y,/b7 X,/b7 Y,/cout X,/cout Y,/s4 X,/s4 Y,/s5 X,/s5 Y,/s6 X,/s6 Y,/s7 X,/s7 Y
1e-08,0,1e-08,0,1e-08,0,1e-08,0,1e-08,0,1e-08,0,1e-08,0,1e-08,0,1e-08,1.188901438045693e-07,1e-08,1.188901380331464e-07,1e-08,1.188901380196374e-07,1e-08,1.188901379990513e-07,1e-08,0,1e-08,0,1e-08,0,1e-08,0,1e-08,0,1e-08,0,1e-08,0,1e-08,0,1e-08,5.339800130455937e-08,1e-08,1.188901319475903e-07,1e-08,1.188901380633566e-07,1e-08,1.188901380357309e-07,1e-08,1.188901379659138e-07
1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,1.188901438011784e-07,1.16e-08,1.188901380320874e-07,1.16e-08,1.188901380191146e-07,1.16e-08,1.188901379960513e-07,1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,0,1.16e-08,5.339800130611268e-08,1.16e-08,1.188901319413691e-07,1.16e-08,1.1889013806159e-07,1.16e-08,1.188901380344876e-07,1.16e-08,1.188901379577537e-07
1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,1.188901437849475e-07,1.32e-08,1.18890138015581e-07,1.32e-08,1.188901380025836e-07,1.32e-08,1.188901379796713e-07,1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,0,1.32e-08,5.339800130619226e-08,1.32e-08,1.188901319247143e-07,1.32e-08,1.188901380452141e-07,1.32e-08,1.188901380181712e-07,1.32e-08,1.188901379414311e-07
1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,1.188901437677452e-07,1.48e-08,1.188901379988593e-07,1.48e-08,1.18890137985997e-07,1.48e-08,1.188901379628596e-07,1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,0,1.48e-08,5.339800130625805e-08,1.48e-08,1.188901319082439e-07,1.48e-08,1.188901380280407e-07,1.48e-08,1.188901380009393e-07,1.48e-08,1.188901379247562e-07
1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,1.188901437657309e-07,1.5e-08,1.18890137996633e-07,1.5e-08,1.188901379840652e-07,1.5e-08,1.18890137961721e-07,1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,0,1.5e-08,5.339800130593788e-08,1.5e-08,1.188901319068264e-07,1.5e-08,1.188901380257152e-07,1.5e-08,1.188901379983892e-07,1.5e-08,1.188901379236371e-07
1.5000001e-08,0,1.5000001e-08,0,1.5000001e-08,1,1.5000001e-08,0,1.5000001e-08,0,1.5000001e-08,1,1.5000001e-08,0,1.5000001e-08,1,1.5000001e-08,1.193695962033038e-07,1.5000001e-08,5.1618724635154e-07,1.5000001e-08,2.015195988050073e-07,1.5000001e-08,5.618316134216064e-07,1.5000001e-08,0,1.5000001e-08,1,1.5000001e-08,0,1.5000001e-08,0,1.5000001e-08,0,1.5000001e-08,1,1.5000001e-08,0,1.5000001e-08,1,1.5000001e-08,5.340661653306233e-08,1.5000001e-08,1.195315160162609e-07,1.5000001e-08,5.989791580848198e-07,1.5000001e-08,1.281300584825742e-07,1.5000001e-08,5.614584809242799e-07
1.5000003e-08,0,1.5000003e-08,0,1.5000003e-08,1,1.5000003e-08,0,1.5000003e-08,0,1.5000003e-08,1,1.5000003e-08,0,1.5000003e-08,1,1.5000003e-08,1.227053730440335e-07,1.5000003e-08,1.989044800023045e-06,1.5000003e-08,6.672832289665017e-07,1.5000003e-08,2.260194907249376e-06,1.5000003e-08,0,1.5000003e-08,1,1.5000003e-08,0,1.5000003e-08,0,1.5000003e-08,0,1.5000003e-08,1,1.5000003e-08,0,1.5000003e-08,1,1.5000003e-08,5.369226892012805e-08,1.5000003e-08,1.245245638787815e-07,1.5000003e-08,2.527267821076869e-06,1.5000003e-08,2.172278175989421e-07,1.5000003e-08,2.255904640742558e-06
1.5000007e-08,0,1.5000007e-08,0,1.5000007e-08,1,1.5000007e-08,0,1.5000007e-08,0,1.5000007e-08,1,1.5000007e-08,0,1.5000007e-08,1,1.5000007e-08,1.329173218538165e-07,1.5000007e-08,5.447319946128606e-06,1.5000007e-08,1.802089699597899e-06,1.5000007e-08,6.306711757968106e-06,1.5000007e-08,0,1.5000007e-08,1,1.5000007e-08,0,1.5000007e-08,0,1.5000007e-08,0,1.5000007e-08,1,1.5000007e-08,0,1.5000007e-08,1,1.5000007e-08,5.53229561509225e-08,1.5000007e-08,1.404355495623664e-07,1.5000007e-08,7.11161881063877e-06,1.5000007e-08,5.0594623988248e-07,1.5000007e-08,6.289258202594319e-06
1.500001462233195e-08,0,1.500001462233195e-08,0,1.500001462233195e-08,1,1.500001462233195e-08,0,1.500001462233195e-08,0,1.500001462233195e-08,1,1.500001462233195e-08,0,1.500001462233195e-08,1,1.500001462233195e-08,1.622428526056727e-07,1.500001462233195e-08,1.273064904361155e-05,1.500001462233195e-08,4.398580099419297e-06,1.500001462233195e-08,1.495525788978311e-05,1.500001462233195e-08,0,1.500001462233195e-08,1,1.500001462233195e-08,0,1.500001462233195e-08,0,1.500001462233195e-08,0,1.500001462233195e-08,1,1.500001462233195e-08,0,1.500001462233195e-08,1,1.500001462233195e-08,6.553988151061479e-08,1.500001462233195e-08,1.880596950203454e-07,1.500001462233195e-08,1.676165894474731e-05,1.500001462233195e-08,1.315922976250415e-06,1.500001462233195e-08,1.489459257188071e-05
1.500001843349792e-08,0,1.500001843349792e-08,0,1.500001843349792e-08,1,1.500001843349792e-08,0,1.500001843349792e-08,0,1.500001843349792e-08,1,1.500001843349792e-08,0,1.500001843349792e-08,1,1.500001843349792e-08,1.783732512495194e-07,1.500001843349792e-08,1.630175127108934e-05,1.500001843349792e-08,5.718664014778709e-06,1.500001843349792e-08,2.155363857638091e-05,1.500001843349792e-08,0,1.500001843349792e-08,1,1.500001843349792e-08,0,1.500001843349792e-08,0,1.500001843349792e-08,0,1.500001843349792e-08,1,1.500001843349792e-08,0,1.500001843349792e-08,1,1.500001843349792e-08,7.369620496165126e-08,1.500001843349792e-08,2.17519560399278e-07,1.500001843349792e-08,2.411429712175182e-05,1.500001843349792e-08,1.740728591401753e-06,1.500001843349792e-08,2.145689617867698e-05
1.500002605582987e-08,0,1.500002605582987e-08,0,1.500002605582987e-08,1,1.500002605582987e-08,0,1.500002605582987e-08,0,1.500002605582987e-08,1,1.500002605582987e-08,0,1.500002605582987e-08,1,1.500002605582987e-08,2.105237383378485e-07,1.500002605582987e-08,2.354099299074108e-05,1.500002605582987e-08,8.35744579859227e-06,1.500002605582987e-08,3.168741643081896e-05,1.500002605582987e-08,0,1.500002605582987e-08,1,1.500002605582987e-08,0,1.500002605582987e-08,0,1.500002605582987e-08,0,1.500002605582987e-08,1,1.500002605582987e-08,0,1.500002605582987e-08,1,1.500002605582987e-08,9.018004238310207e-08,1.500002605582987e-08,2.801247360206147e-07,1.500002605582987e-08,3.542907248947716e-05,1.500002605582987e-08,2.590148783704616e-06,1.500002605582987e-08,3.152905908206143e-05
1.500004130049376e-08,0,1.500004130049376e-08,0,1.500004130049376e-08,1,1.500004130049376e-08,0,1.500004130049376e-08,0,1.500004130049376e-08,1,1.500004130049376e-08,0,1.500004130049376e-08,1,1.500004130049376e-08,2.836302885611775e-07,1.500004130049376e-08,4.283485738019334e-05,1.500004130049376e-08,1.372183470130722e-05,1.500004130049376e-08,5.063664263289203e-05,1.500004130049376e-08,0,1.500004130049376e-08,1,1.500004130049376e-08,0,1.500004130049376e-08,0,1.500004130049376e-08,0,1.500004130049376e-08,1,1.500004130049376e-08,0,1.500004130049376e-08,1,1.500004130049376e-08,1.212990754172704e-07,1.500004130049376e-08,3.946604571244629e-07,1.500004130049376e-08,5.663605146738047e-05,1.500004130049376e-08,4.269647243709108e-06,1.500004130049376e-08,5.03677375481167e-05
1.500007178982155e-08,0,1.500007178982155e-08,0,1.500007178982155e-08,1,1.500007178982155e-08,0,1.500007178982155e-08,0,1.500007178982155e-08,1,1.500007178982155e-08,0,1.500007178982155e-08,1,1.500007178982155e-08,4.276844245064979e-07,1.500007178982155e-08,7.603673387434115e-05,1.500007178982155e-08,2.478414822853892e-05,1.500007178982155e-08,9.066077206938586e-05,1.500007178982155e-08,0,1.500007178982155e-08,1,1.500007178982155e-08,0,1.500007178982155e-08,0,1.500007178982155e-08,0,1.500007178982155e-08,1,1.500007178982155e-08,0,1.500007178982155e-08,1,1.500007178982155e-08,1.838778276797293e-07,1.500007178982155e-08,6.240120168363421e-07,1.500007178982155e-08,0.0001014474455008795,1.500007178982155e-08,8.019436454911836e-06,1.500007178982155e-08,9.01587114641482e-05
1.500011907924915e-08,0,1.500011907924915e-08,0,1.500011907924915e-08,1,1.500011907924915e-08,0,1.500011907924915e-08,0,1.500011907924915e-08,1,1.500011907924915e-08,0,1.500011907924915e-08,1,1.500011907924915e-08,6.388830225154241e-07,1.500011907924915e-08,0.0001277023460299255,1.500011907924915e-08,4.851757308529671e-05,1.500011907924915e-08,0.0001521076620543843,1.500011907924915e-08,0,1.500011907924915e-08,1,1.500011907924915e-08,0,1.500011907924915e-08,0,1.500011907924915e-08,0,1.500011907924915e-08,1,1.500011907924915e-08,0,1.500011907924915e-08,1,1.500011907924915e-08,2.954628379311015e-07,1.500011907924915e-08,9.834878275299034e-07,1.500011907924915e-08,0.0001710796763219474,1.500011907924915e-08,1.394432448867115e-05,1.500011907924915e-08,0.0001509691400370511
1.500015863673802e-08,0,1.500015863673802e-08,0,1.500015863673802e-08,1,1.500015863673802e-08,0,1.500015863673802e-08,0,1.500015863673802e-08,1,1.500015863673802e-08,0,1.500015863673802e-08,1,1.500015863673802e-08,8.192749760960731e-07,1.500015863673802e-08,0.0001715555498520667,1.500015863673802e-08,6.636238445180051e-05,1.500015863673802e-08,0.0002050007941117732,1.500015863673802e-08,0,1.500015863673802e-08,1,1.500015863673802e-08,0,1.500015863673802e-08,0,1.500015863673802e-08,0,1.500015863673802e-08,1,1.500015863673802e-08,0,1.500015863673802e-08,1,1.500015863673802e-08,3.949179579986955e-07,1.500015863673802e-08,1.282290096980879e-06,1.500015863673802e-08,0.0002316665178530706,1.500015863673802e-08,1.948983748381902e-05,1.500015863673802e-08,0.0002032738138490606
1.500016708150479e-08,0,1.500016708150479e-08,0,1.500016708150479e-08,1,1.500016708150479e-08,0,1.500016708150479e-08,0,1.500016708150479e-08,1,1.500016708150479e-08,0,1.500016708150479e-08,1,1.500016708150479e-08,9.853143675989159e-07,1.500016708150479e-08,0.0001837319487167699,1.500016708150479e-08,7.137451422685768e-05,1.500016708150479e-08,0.000219045057283766,1.500016708150479e-08,0,1.500016708150479e-08,1,1.500016708150479e-08,0,1.500016708150479e-08,0,1.500016708150479e-08,0,1.500016708150479e-08,1,1.500016708150479e-08,0,1.500016708150479e-08,1,1.500016708150479e-08,4.379493029876671e-07,1.500016708150479e-08,1.55406050422178e-06,1.500016708150479e-08,0.0002479303942402093,1.500016708150479e-08,2.249298515311736e-05,1.500016708150479e-08,0.0002174473847910748
1.500018397103833e-08,0,1.500018397103833e-08,0,1.500018397103833e-08,1,1.500018397103833e-08,0,1.500018397103833e-08,0,1.500018397103833e-08,1,1.500018397103833e-08,0,1.500018397103833e-08,1,1.500018397103833e-08,1.113057094905578e-06,1.500018397103833e-08,0.0002040613896351034,1.500018397103833e-08,7.967949442590122e-05,1.500018397103833e-08,0.0002432654231020205,1.500018397103833e-08,0,1.500018397103833e-08,1,1.500018397103833e-08,0,1.500018397103833e-08,0,1.500018397103833e-08,0,1.500018397103833e-08,1,1.500018397103833e-08,0,1.500018397103833e-08,1,1.500018397103833e-08,5.260442017277315e-07,1.500018397103833e-08,1.796824373752505e-06,1.500018397103833e-08,0.0002762762169557895,1.500018397103833e-08,2.610702820029436e-05,1.500018397103833e-08,0.0002418359987057012
