/c4 X,/c4 Y,/s3 X,/s3 Y,/s2 X,/s2 Y,/s1 X,/s1 Y,/s0 X,/s0 Y,/b3 X,/b3 Y,/a3 X,/a3 Y,/b2 X,/b2 Y,/a2 X,/a2 Y,/b1 X,/b1 Y,/a1 X,/a1 Y,/b0 X,/b0 Y,/a0 X,/a0 Y,/c0 X,/c0 Y
2.506258233789669e-08,1.00010007360134,2.506258233789669e-08,0.2387419629678659,2.506258233789669e-08,0.9740941776337989,2.506258233789669e-08,0.6312903363846117,2.506258233789669e-08,0.6578688620617987,2.506258233789669e-08,0,2.506258233789669e-08,1,2.506258233789669e-08,1,2.506258233789669e-08,1,2.506258233789669e-08,0,2.506258233789669e-08,1,2.506258233789669e-08,1,2.506258233789669e-08,1,2.506258233789669e-08,1
2.50643706327932e-08,1.000085591833624,2.50643706327932e-08,0.1738975124879285,2.50643706327932e-08,0.9709073725281504,2.50643706327932e-08,0.5584584767250427,2.50643706327932e-08,0.7260020025429119,2.50643706327932e-08,0,2.50643706327932e-08,1,2.50643706327932e-08,1,2.50643706327932e-08,1,2.50643706327932e-08,0,2.50643706327932e-08,1,2.50643706327932e-08,1,2.50643706327932e-08,1,2.50643706327932e-08,1
2.506572088617077e-08,1.000117434714067,2.506572088617077e-08,0.1367046964476565,2.506572088617077e-08,0.9681238779739728,2.506572088617077e-08,0.4975760812008359,2.506572088617077e-08,0.7706507317581422,2.506572088617077e-08,0,2.506572088617077e-08,1,2.506572088617077e-08,1,2.506572088617077e-08,1,2.506572088617077e-08,0,2.506572088617077e-08,1,2.506572088617077e-08,1,2.506572088617077e-08,1,2.506572088617077e-08,1
2.506722886944299e-08,1.000190819427135,2.506722886944299e-08,0.1043451165731785,2.506722886944299e-08,0.9641898936495351,2.506722886944299e-08,0.4249136935248382,2.506722886944299e-08,0.811799671492759,2.506722886944299e-08,0,2.506722886944299e-08,1,2.506722886944299e-08,1,2.506722886944299e-08,1,2.506722886944299e-08,0,2.506722886944299e-08,1,2.506722886944299e-08,1,2.506722886944299e-08,1,2.506722886944299e-08,1
2.506885434312165e-08,1.000207952264534,2.506885434312165e-08,0.07792894915048532,2.506885434312165e-08,0.9584115615854452,2.506885434312165e-08,0.3445423207400845,2.506885434312165e-08,0.8469815371690522,2.506885434312165e-08,0,2.506885434312165e-08,1,2.506885434312165e-08,1,2.506885434312165e-08,1,2.506885434312165e-08,0,2.506885434312165e-08,1,2.506885434312165e-08,1,2.506885434312165e-08,1,2.506885434312165e-08,1
2.507031801649308e-08,1.000035018474384,2.507031801649308e-08,0.0600284652518087,2.507031801649308e-08,0.9515144615236638,2.507031801649308e-08,0.2754089049594311,2.507031801649308e-08,0.872298792532988,2.507031801649308e-08,0,2.507031801649308e-08,1,2.507031801649308e-08,1,2.507031801649308e-08,1,2.507031801649308e-08,0,2.507031801649308e-08,1,2.507031801649308e-08,1,2.507031801649308e-08,1,2.507031801649308e-08,1
2.507170596262944e-08,0.9996417160816984,2.507170596262944e-08,0.0470524692070091,2.507170596262944e-08,0.9435279025527273,2.507170596262944e-08,0.2185542965234197,2.507170596262944e-08,0.8920252865236736,2.507170596262944e-08,0,2.507170596262944e-08,1,2.507170596262944e-08,1,2.507170596262944e-08,1,2.507170596262944e-08,0,2.507170596262944e-08,1,2.507170596262944e-08,1,2.507170596262944e-08,1,2.507170596262944e-08,1
2.507287687505454e-08,0.9993390682987953,2.507287687505454e-08,0.03850009600373589,2.507287687505454e-08,0.9359464792338394,2.507287687505454e-08,0.1791107386067628,2.507287687505454e-08,0.9060484539401061,2.507287687505454e-08,0,2.507287687505454e-08,1,2.507287687505454e-08,1,2.507287687505454e-08,1,2.507287687505454e-08,0,2.507287687505454e-08,1,2.507287687505454e-08,1,2.507287687505454e-08,1,2.507287687505454e-08,1
2.507411233613924e-08,0.99884395019019,2.507411233613924e-08,0.03134130816783206,2.507411233613924e-08,0.9273575469841252,2.507411233613924e-08,0.144995392431464,2.507411233613924e-08,0.9187005374394007,2.507411233613924e-08,0,2.507411233613924e-08,1,2.507411233613924e-08,1,2.507411233613924e-08,1,2.507411233613924e-08,0,2.507411233613924e-08,1,2.507411233613924e-08,1,2.507411233613924e-08,1,2.507411233613924e-08,1
2.507530437761118e-08,0.9984744286537885,2.507530437761118e-08,0.02588309147532131,2.507530437761118e-08,0.9185136654354658,2.507530437761118e-08,0.1180854781129896,2.507530437761118e-08,0.9291403291622706,2.507530437761118e-08,0,2.507530437761118e-08,1,2.507530437761118e-08,1,2.507530437761118e-08,1,2.507530437761118e-08,0,2.507530437761118e-08,1,2.507530437761118e-08,1,2.507530437761118e-08,1,2.507530437761118e-08,1
2.50764505677153e-08,0.9982241559363905,2.50764505677153e-08,0.02169877748976713,2.50764505677153e-08,0.9091970509099404,2.50764505677153e-08,0.09683253057523038,2.50764505677153e-08,0.937789654027216,2.50764505677153e-08,0,2.50764505677153e-08,1,2.50764505677153e-08,1,2.50764505677153e-08,1,2.50764505677153e-08,0,2.50764505677153e-08,1,2.50764505677153e-08,1,2.50764505677153e-08,1,2.50764505677153e-08,1
2.50782435142986e-08,0.9979238823615713,2.50782435142986e-08,0.01671743156891527,2.50782435142986e-08,0.8919049267627117,2.50782435142986e-08,0.07091575144600139,2.50782435142986e-08,0.949060622333144,2.50782435142986e-08,0,2.50782435142986e-08,1,2.50782435142986e-08,1,2.50782435142986e-08,1,2.50782435142986e-08,0,2.50782435142986e-08,1,2.50782435142986e-08,1,2.50782435142986e-08,1,2.50782435142986e-08,1
2.507954181873044e-08,0.9976726192205914,2.507954181873044e-08,0.01404047511535921,2.507954181873044e-08,0.8778453426413471,2.507954181873044e-08,0.0567228412501079,2.507954181873044e-08,0.9557654310969146,2.507954181873044e-08,0,2.507954181873044e-08,1,2.507954181873044e-08,1,2.507954181873044e-08,1,2.507954181873044e-08,0,2.507954181873044e-08,1,2.507954181873044e-08,1,2.507954181873044e-08,1,2.507954181873044e-08,1
