/in X,/in Y,/output X,/output Y
0,0,0,0.9999999539171872
3.90625e-14,0.000390625,3.90625e-14,1.000090975347738
1.171875e-13,0.001171875,1.171875e-13,1.000343217141488
2.734375e-13,0.002734374999999999,2.734375e-13,1.000784287728953
5.859374999999999e-13,0.005859374999999999,5.859374999999999e-13,1.001560410557169
1.2109375e-12,0.012109375,1.2109375e-12,1.002767780749153
2.4609375e-12,0.024609375,2.4609375e-12,1.004268145591181
4.960937499999999e-12,0.04960937499999999,4.960937499999999e-12,1.005538274318794
8.680033989480356e-12,0.08680033989480355,8.680033989480356e-12,1.006124884612775
1.388249873668757e-11,0.1388249873668757,1.388249873668757e-11,1.006726617656089
2.200260204198774e-11,0.2200260204198774,2.200260204198774e-11,1.008112324095887
3.824280865258809e-11,0.3824280865258808,3.824280865258809e-11,1.014282901556157
4.328629324998286e-11,0.4328629324998286,4.328629324998286e-11,1.016612559552587
5.337326244477241e-11,0.5337326244477241,5.337326244477241e-11,1.002114361306436
5.838302528867791e-11,0.583830252886779,5.838302528867791e-11,0.9664671005143773
6.419538766693991e-11,0.6419538766693991,6.419538766693991e-11,0.861599586521081
6.851569236059243e-11,0.6851569236059242,6.851569236059243e-11,0.7218496437601656
7.303011781248411e-11,0.7303011781248411,7.303011781248411e-11,0.5092491892567487
7.821094178914562e-11,0.7821094178914562,7.821094178914562e-11,0.2124709501641026
7.916401129180282e-11,0.7916401129180282,7.916401129180282e-11,0.1584437182939587
8.107015029711722e-11,0.8107015029711722,8.107015029711722e-11,0.07789749588590837
8.265336247504044e-11,0.8265336247504044,8.265336247504044e-11,0.04268573865146622
8.439540675690927e-11,0.8439540675690926,8.439540675690927e-11,0.02310458720970828
8.613499076412355e-11,0.8613499076412355,8.613499076412355e-11,0.01351965075713855
8.808760708518492e-11,0.8808760708518492,8.808760708518492e-11,0.008459701389872233
9.05820512383765e-11,0.9058205123837649,9.05820512383765e-11,0.005937996713229999
9.384510252622008e-11,0.9384510252622007,9.384510252622008e-11,0.004880855126172839
9.692255126311004e-11,0.9692255126311003,9.692255126311004e-11,0.004505230796839932
1e-10,1,1e-10,0.004217189349878231
1.000961702730278e-10,1,1.000961702730278e-10,0.003975636240559216
1.001442554095417e-10,1,1.001442554095417e-10,0.003854797386748478
1.002404256825695e-10,1,1.002404256825695e-10,0.00362396215464226
1.004327662286251e-10,1,1.004327662286251e-10,0.003202557307535932
1.008174473207363e-10,1,1.008174473207363e-10,0.002497579401580188
1.015868095049586e-10,1,1.015868095049586e-10,0.00150839135913052
1.031255338734033e-10,1,1.031255338734033e-10,0.0005092294996879033
1.062029826102927e-10,1,1.062029826102927e-10,3.01631484635075e-06
1.104589997043458e-10,1,1.104589997043458e-10,-4.442317965119846e-06
1.168551363853488e-10,1,1.168551363853488e-10,1.938541958839725e-06
1.28376690988857e-10,1,1.28376690988857e-10,-1.17915225945885e-06
1.514198001958736e-10,1,1.514198001958736e-10,1.014211261015077e-06
1.975060186099066e-10,1,1.975060186099066e-10,-8.416043312235762e-07
2.896784554379728e-10,1,2.896784554379728e-10,8.68821435849497e-07
4.740233290941052e-10,1,4.740233290941052e-10,-7.740161764029518e-07
8.4271307640637e-10,1,8.4271307640637e-10,8.362227517111316e-07
1.5800925710309e-09,1,1.5800925710309e-09,-7.580061332675082e-07
2.3800925710309e-09,1,2.3800925710309e-09,8.26073686384121e-07
3.1800925710309e-09,1,3.1800925710309e-09,-7.483372989592187e-07
3.9800925710309e-09,1,3.9800925710309e-09,8.164684985256284e-07
4.49004628551545e-09,1,4.49004628551545e-09,-7.36104360921954e-07
5.000000000000001e-09,1,5.000000000000001e-09,8.016525685838634e-07
5.001562500000001e-09,0.9843749999999988,5.001562500000001e-09,-0.002239252067026623
5.004687500000001e-09,0.9531249999999964,5.004687500000001e-09,-0.004471202415859869
5.010937500000002e-09,0.8906249999999918,5.010937500000002e-09,-0.00490756052720785
5.017744238624579e-09,0.822557613754216,5.017744238624579e-09,-0.006039416538870483
5.025782412824781e-09,0.7421758717521991,5.025782412824781e-09,-0.008066262274181356
5.041858761225184e-09,0.5814123877481652,5.041858761225184e-09,-0.01548525067804005
5.045565853267597e-09,0.5443414673240352,5.045565853267597e-09,-0.01667638943854715
5.052980037352423e-09,0.4701996264757753,5.052980037352423e-09,-0.002002123577803114
5.057575076227646e-09,0.4242492377235457,5.057575076227646e-09,0.03488372196296805
5.062632993532346e-09,0.3736700646765496,5.062632993532346e-09,0.1335841294876421
5.066564241126084e-09,0.3343575887391675,5.066564241126084e-09,0.2637541384609981
5.071249557973766e-09,0.2875044202623491,5.071249557973766e-09,0.4856165728208829
5.074305031947351e-09,0.2569496805265026,5.074305031947351e-09,0.6621502573669192
5.076376990965957e-09,0.2362300903404357,5.076376990965957e-09,0.7855024496539275
5.078123687828088e-09,0.2187631217191343,5.078123687828088e-09,0.8762031309216517
5.080054052596213e-09,0.1994594740378819,5.080054052596213e-09,0.9389888471882863
5.081677262672372e-09,0.1832273732762857,5.081677262672372e-09,0.9636128509208026
5.083221488868296e-09,0.1677851113170523,5.083221488868296e-09,0.9760722507311166
5.084898293112526e-09,0.1510170688747526,5.084898293112526e-09,0.9838473698323372
5.087056917356899e-09,0.1294308264310197,5.087056917356899e-09,0.989040716934765
5.090063426733074e-09,0.09936573266927318,5.090063426733074e-09,0.992181280323406
5.09380896792409e-09,0.06191032075910796,5.09380896792409e-09,0.9935159448475277
5.096904483962045e-09,0.03095516037955781,5.096904483962045e-09,0.9939520664222802
5.100000000000001e-09,0,5.100000000000001e-09,0.9942600336364688
5.100024183719048e-09,0,5.100024183719048e-09,0.9943170087123774
5.100072551157141e-09,0,5.100072551157141e-09,0.9944406999831067
5.100169286033329e-09,0,5.100169286033329e-09,0.9946836117410919
5.100217653471422e-09,0,5.100217653471422e-09,0.9947997018948032
5.10031438834761e-09,0,5.10031438834761e-09,0.9950267849438288
5.100507858099984e-09,0,5.100507858099984e-09,0.995448807022318
5.100604592976171e-09,0,5.100604592976171e-09,0.9956472168223742
5.100798062728546e-09,0,5.100798062728546e-09,0.9960172216172859
5.101185002233295e-09,0,5.101185002233295e-09,0.9966669839109598
5.101958881242793e-09,0,5.101958881242793e-09,0.9976711712523653
5.102345820747542e-09,0,5.102345820747542e-09,0.9980512180264557
5.10311969975704e-09,0,5.10311969975704e-09,0.9986387777960203
5.104667457776036e-09,0,5.104667457776036e-09,0.9993511674589639
5.107762973814028e-09,0,5.107762973814028e-09,0.9998896810618459
5.113583700537652e-09,0,5.113583700537652e-09,1.000017972557041
5.121889410989361e-09,0,5.121889410989361e-09,0.9999929435465547
5.13591047588115e-09,0,5.13591047588115e-09,1.000003744072216
5.16395260566473e-09,0,5.16395260566473e-09,0.9999971211973707
5.22003686523189e-09,0,5.22003686523189e-09,1.000002409991994
5.332205384366209e-09,0,5.332205384366209e-09,0.9999976632095907
5.556542422634847e-09,0,5.556542422634847e-09,1.000002164867826
6.005216499172124e-09,0,6.005216499172124e-09,0.9999977798631567
6.805216499172124e-09,0,6.805216499172124e-09,1.000002105679954
7.605216499172123e-09,0,7.605216499172123e-09,0.9999978217552482
8.405216499172124e-09,0,8.405216499172124e-09,1.000002064245298
