/a X,/a Y,/b X,/b Y,/Cin X,/Cin Y,/G X,/G Y,/P X,/P Y,/S X,/S Y,/Cout X,/Cout Y
1.509306627420962e-10,1,1.509306627420962e-10,0,1.509306627420962e-10,0,1.509306627420962e-10,-3.609890263578047e-05,1.509306627420962e-10,0.5107838946226902,1.509306627420962e-10,0.001694314849364595,1.509306627420962e-10,-2.633408641610521e-06
1.512615650503971e-10,1,1.512615650503971e-10,0,1.512615650503971e-10,0,1.512615650503971e-10,-4.351836543662875e-05,1.512615650503971e-10,0.5213973414481657,1.512615650503971e-10,0.001652388113674729,1.512615650503971e-10,-2.77749429717622e-06
1.519233696669988e-10,1,1.519233696669988e-10,0,1.519233696669988e-10,0,1.519233696669988e-10,-5.325277703102615e-05,1.519233696669988e-10,0.5424494409191694,1.519233696669988e-10,0.001509926481960902,1.519233696669988e-10,-2.602370238264121e-06
1.532469789002023e-10,1,1.532469789002023e-10,0,1.532469789002023e-10,0,1.532469789002023e-10,-5.913042798444962e-05,1.532469789002023e-10,0.5836049277107932,1.532469789002023e-10,0.0009272357431605077,1.532469789002023e-10,-1.495016208438566e-06
1.5585381101165e-10,1,1.5585381101165e-10,0,1.5585381101165e-10,0,1.5585381101165e-10,-5.018268391252829e-05,1.5585381101165e-10,0.6590011590996802,1.5585381101165e-10,-0.001881638550686306,1.5585381101165e-10,4.479511227370651e-07
1.584976790419223e-10,1,1.584976790419223e-10,0,1.584976790419223e-10,0,1.584976790419223e-10,-2.782276794877838e-05,1.584976790419223e-10,0.7251060436193326,1.584976790419223e-10,-0.00719079821537643,1.584976790419223e-10,1.744224075722871e-06
1.614446327392718e-10,1,1.614446327392718e-10,0,1.614446327392718e-10,0,1.614446327392718e-10,-1.297348788382442e-05,1.614446327392718e-10,0.7847818786120531,1.614446327392718e-10,-0.01516318923512923,1.614446327392718e-10,1.356708134492932e-06
1.635980411408885e-10,1,1.635980411408885e-10,0,1.635980411408885e-10,0,1.635980411408885e-10,-7.163899750756912e-06,1.635980411408885e-10,0.8198371725839644,1.635980411408885e-10,-0.02178461427220957,1.635980411408885e-10,9.339217929656202e-07
1.670897740135722e-10,1,1.670897740135722e-10,0,1.670897740135722e-10,0,1.670897740135722e-10,-2.442439118865744e-06,1.670897740135722e-10,0.8642861745272774,1.670897740135722e-10,-0.03432005105226493,1.670897740135722e-10,4.787104882017449e-07
1.706321009218477e-10,1,1.706321009218477e-10,0,1.706321009218477e-10,0,1.706321009218477e-10,-6.894329688909452e-07,1.706321009218477e-10,0.8973117256513407,1.706321009218477e-10,-0.05211303071379062,1.706321009218477e-10,2.447190108663311e-07
1.724256945305729e-10,1,1.724256945305729e-10,0,1.724256945305729e-10,0,1.724256945305729e-10,-3.434904505003435e-07,1.724256945305729e-10,0.9106418439153811,1.724256945305729e-10,-0.06204392362463781,1.724256945305729e-10,1.852546912154725e-07
1.740024791721295e-10,1,1.740024791721295e-10,0,1.740024791721295e-10,0,1.740024791721295e-10,-4.873088141573548e-08,1.740024791721295e-10,0.9209827805039559,1.740024791721295e-10,-0.06932794012593395,1.740024791721295e-10,1.786873537522133e-07
1.756023565571145e-10,1,1.756023565571145e-10,0,1.756023565571145e-10,0,1.756023565571145e-10,-1.30872362630922e-07,1.756023565571145e-10,0.9303572050484832,1.756023565571145e-10,-0.07503243563748049,1.756023565571145e-10,8.850380706054726e-08
1.773855398455846e-10,1,1.773855398455846e-10,0,1.773855398455846e-10,0,1.773855398455846e-10,-1.687247017998912e-07,1.773855398455846e-10,0.9396393967249436,1.773855398455846e-10,-0.07974523646685441,1.773855398455846e-10,1.995065672107609e-08
1.786512320570929e-10,1,1.786512320570929e-10,0,1.786512320570929e-10,0,1.786512320570929e-10,-1.991334188574497e-07,1.786512320570929e-10,0.9455308408686927,1.786512320570929e-10,-0.08188890398177801,1.786512320570929e-10,-7.680754134382717e-09
1.802464904123172e-10,1,1.802464904123172e-10,0,1.802464904123172e-10,0,1.802464904123172e-10,-2.424783800861388e-07,1.802464904123172e-10,0.9521471618821172,1.802464904123172e-10,-0.07521496973161017,1.802464904123172e-10,-4.420224587601313e-08
1.813854154299074e-10,1,1.813854154299074e-10,0,1.813854154299074e-10,0,1.813854154299074e-10,-2.602794901839557e-07,1.813854154299074e-10,0.956350964222366,1.813854154299074e-10,-0.05275083998661131,1.813854154299074e-10,-5.282563330641107e-08
1.826510769646727e-10,1,1.826510769646727e-10,0,1.826510769646727e-10,0,1.826510769646727e-10,-2.523307530761965e-07,1.826510769646727e-10,0.9605972536896501,1.826510769646727e-10,-0.001537389847390533,1.826510769646727e-10,-5.839681302443186e-08
1.841904936244616e-10,1,1.841904936244616e-10,0,1.841904936244616e-10,0,1.841904936244616e-10,-2.198052292150066e-07,1.841904936244616e-10,0.9652567424038401,1.841904936244616e-10,0.08922179447760197,1.841904936244616e-10,-4.450212581740998e-08
1.857218721990557e-10,1,1.857218721990557e-10,0,1.857218721990557e-10,0,1.857218721990557e-10,-1.842423758114893e-07,1.857218721990557e-10,0.9694189428128537,1.857218721990557e-10,0.1965091487728477,1.857218721990557e-10,-3.734121290427151e-08
1.872465501614095e-10,1,1.872465501614095e-10,0,1.872465501614095e-10,0,1.872465501614095e-10,-1.59270760770191e-07,1.872465501614095e-10,0.9731415526120802,1.872465501614095e-10,0.3100393606319158,1.872465501614095e-10,-2.548716097331806e-08
1.890314885582326e-10,1,1.890314885582326e-10,0,1.890314885582326e-10,0,1.890314885582326e-10,-1.414652043291684e-07,1.890314885582326e-10,0.9770070574919661,1.890314885582326e-10,0.4434877746366657,1.890314885582326e-10,-2.527871818549568e-08
1.911615648621283e-10,1,1.911615648621283e-10,0,1.911615648621283e-10,0,1.911615648621283e-10,-1.253177387539576e-07,1.911615648621283e-10,0.9809750550836406,1.911615648621283e-10,0.5948048299759745,1.911615648621283e-10,-1.710663448377588e-08
1.935754362285732e-10,1,1.935754362285732e-10,0,1.935754362285732e-10,0,1.935754362285732e-10,-1.01605592227003e-07,1.935754362285732e-10,0.9847076911648845,1.935754362285732e-10,0.7374592868301293,1.935754362285732e-10,-1.410965762132892e-08
1.957431910094848e-10,1,1.957431910094848e-10,0,1.957431910094848e-10,0,1.957431910094848e-10,-7.491860323422285e-08,1.957431910094848e-10,0.9874428990032365,1.957431910094848e-10,0.8232894724510038,1.957431910094848e-10,-9.407692933917418e-10
1.979751777432783e-10,1,1.979751777432783e-10,0,1.979751777432783e-10,0,1.979751777432783e-10,-4.38972265562748e-08,1.979751777432783e-10,0.9897386864540938,1.979751777432783e-10,0.878648477397005,1.979751777432783e-10,5.417353276641904e-09
2.006967322330225e-10,1,2.006967322330225e-10,0,2.006967322330225e-10,0,2.006967322330225e-10,-6.998874411293006e-09,2.006967322330225e-10,0.9919584858117797,2.006967322330225e-10,0.9222439490528895,2.006967322330225e-10,2.196799059768418e-08
2.029924276849366e-10,1,2.029924276849366e-10,0,2.029924276849366e-10,0,2.029924276849366e-10,1.91852090224811e-08,2.029924276849366e-10,0.9934407451194136,2.029924276849366e-10,0.946488110774904,2.029924276849366e-10,2.625526973478922e-08
2.060485757500492e-10,1,2.060485757500492e-10,0,2.060485757500492e-10,0,2.060485757500492e-10,4.060981361649195e-08,2.060485757500492e-10,0.9949975257358398,2.060485757500492e-10,0.9675034776069441,2.060485757500492e-10,3.669279829000024e-08
2.09841264341937e-10,1,2.09841264341937e-10,0,2.09841264341937e-10,0,2.09841264341937e-10,5.435787787136165e-08,2.09841264341937e-10,0.9964346520652149,2.09841264341937e-10,0.9825888983017473,2.09841264341937e-10,3.612232282801544e-08
2.14373332347047e-10,1,2.14373332347047e-10,0,2.14373332347047e-10,0,2.14373332347047e-10,6.341743503490043e-08,2.14373332347047e-10,0.9976344445673281,2.14373332347047e-10,0.9918262541768843,2.14373332347047e-10,4.266562126833791e-08
2.198179406691225e-10,1,2.198179406691225e-10,0,2.198179406691225e-10,0,2.198179406691225e-10,7.394931865645956e-08,2.198179406691225e-10,0.9985722554122319,2.198179406691225e-10,0.9967701596569268,2.198179406691225e-10,4.195872313312939e-08
2.26589839050653e-10,1,2.26589839050653e-10,0,2.26589839050653e-10,0,2.26589839050653e-10,8.554291302030488e-08,2.26589839050653e-10,0.9992522967935753,2.26589839050653e-10,0.9990308774852161,2.26589839050653e-10,4.987466700140052e-08
2.353921878810624e-10,1,2.353921878810624e-10,0,2.353921878810624e-10,0,2.353921878810624e-10,9.557482069938375e-08,2.353921878810624e-10,0.9996894083663362,2.353921878810624e-10,0.9998289874566347,2.353921878810624e-10,4.893440027742447e-08
2.475731506561944e-10,1,2.475731506561944e-10,0,2.475731506561944e-10,0,2.475731506561944e-10,1.022483103440853e-07,2.475731506561944e-10,0.9999170076644104,2.475731506561944e-10,0.9999976497898806,2.475731506561944e-10,5.509502493419301e-08
2.660105463440473e-10,1,2.660105463440473e-10,0,2.660105463440473e-10,0,2.660105463440473e-10,1.017969533822712e-07,2.660105463440473e-10,0.9999951969786441,2.660105463440473e-10,1.000001182529556,2.660105463440473e-10,5.070887871583136e-08
2.981155841334024e-10,1,2.981155841334024e-10,0,2.981155841334024e-10,0,2.981155841334024e-10,1.042976600842731e-07,2.981155841334024e-10,1.000001292533862,2.981155841334024e-10,0.9999999444279691,2.981155841334024e-10,5.574911385024421e-08
3.623256597121127e-10,1,3.623256597121127e-10,0,3.623256597121127e-10,0,3.623256597121127e-10,1.031628023196921e-07,3.623256597121127e-10,0.9999998697127903,3.623256597121127e-10,1.000001030521603,3.623256597121127e-10,5.115554420912498e-08
4.907458108695332e-10,1,4.907458108695332e-10,0,4.907458108695332e-10,0,4.907458108695332e-10,1.038653223375963e-07,4.907458108695332e-10,1.000000588935915,4.907458108695332e-10,0.9999999881325335,4.907458108695332e-10,5.559669144012074e-08
7.475861131843743e-10,1,7.475861131843743e-10,0,7.475861131843743e-10,0,7.475861131843743e-10,1.033358956094976e-07,7.475861131843743e-10,1.000000091081193,7.475861131843743e-10,1.000001007300067,7.475861131843743e-10,5.121891849614756e-08
1.261266717814057e-09,1,1.261266717814057e-09,0,1.261266717814057e-09,0,1.261266717814057e-09,1.037879454744236e-07,1.261266717814057e-09,1.000000501907659,1.261266717814057e-09,0.9999999858499717,1.261266717814057e-09,5.556780862584433e-08
2.288627927073421e-09,1,2.288627927073421e-09,0,2.288627927073421e-09,0,2.288627927073421e-09,1.033724651757748e-07,2.288627927073421e-09,1.000000135580892,2.288627927073421e-09,1.000000983583414,2.288627927073421e-09,5.123270374384676e-08
3.488627927073421e-09,1,3.488627927073421e-09,0,3.488627927073421e-09,0,3.488627927073421e-09,1.037660374108197e-07,3.488627927073421e-09,1.00000048461544,3.488627927073421e-09,0.9999999597869994,3.488627927073421e-09,5.55595033435571e-08
4.688627927073421e-09,1,4.688627927073421e-09,0,4.688627927073421e-09,0,4.688627927073421e-09,1.033922552799256e-07,4.688627927073421e-09,1.000000162191541,4.688627927073421e-09,1.000000952297553,4.688627927073421e-09,5.124023389357768e-08
5.34431396353671e-09,1,5.34431396353671e-09,0,5.34431396353671e-09,0,5.34431396353671e-09,1.037387916571179e-07,5.34431396353671e-09,1.000000461304257,5.34431396353671e-09,0.9999999403279158,5.34431396353671e-09,5.554908587684313e-08
6e-09,1,6e-09,0,6e-09,0,6e-09,1.03426531961023e-07,6e-09,1.000000199427882,6e-09,1.000000934018502,6e-09,5.125340432269081e-08
6.000390625e-09,1,6.000390625e-09,0.003906250000000293,6.000390625e-09,0,6.000390625e-09,7.180694003525451e-05,6.000390625e-09,1.000612183025442,6.000390625e-09,1.000006568685555,6.000390625e-09,4.636495934819733e-06
6.001171875e-09,1,6.001171875e-09,0.01171875000000088,6.001171875e-09,0,6.001171875e-09,0.0001687384127263815,6.001171875e-09,1.001799306961503,6.001171875e-09,1.00001680062412,6.001171875e-09,8.645752652800622e-06
6.0015625e-09,1,6.0015625e-09,0.01562500000000117,6.0015625e-09,0,6.0015625e-09,0.0002004198554780355,6.0015625e-09,1.002359684483346,6.0015625e-09,1.000020486146306,6.0015625e-09,8.458819211184777e-06
