/output X,/output Y,/b X,/b Y,/a X,/a Y
6.005859375e-09,1.011284467112769,6.005859375e-09,0.0585937500000044,6.005859375e-09,1
6.011300526500679e-09,1.015133527015386,6.011300526500679e-09,0.1130052650067884,6.011300526500679e-09,1
6.01842924373015e-09,1.017219359215171,6.01842924373015e-09,0.1842924373014971,6.01842924373015e-09,1
6.027502443414032e-09,1.019176958870652,6.027502443414032e-09,0.2750244341403233,6.027502443414032e-09,1
6.040113089702738e-09,1.022798937344157,6.040113089702738e-09,0.4011308970273826,6.040113089702738e-09,1
6.046920735669105e-09,1.023057916188212,6.046920735669105e-09,0.4692073566910489,6.046920735669105e-09,1
6.053104316611187e-09,1.014215754446804,6.053104316611187e-09,0.5310431661118699,6.053104316611187e-09,1
6.058825111622199e-09,0.9844593467134344,6.058825111622199e-09,0.5882511162219902,6.058825111622199e-09,1
6.06504285394101e-09,0.9055294789259195,6.06504285394101e-09,0.6504285394100989,6.06504285394101e-09,1
6.070387455262007e-09,0.7855511972538074,6.070387455262007e-09,0.7038745526200711,6.070387455262007e-09,1
6.076269304605174e-09,0.5878126183690477,6.076269304605174e-09,0.7626930460517417,6.076269304605174e-09,1
6.0820848208605e-09,0.3413750758194445,6.0820848208605e-09,0.8208482086050002,6.0820848208605e-09,1
6.083466025739268e-09,0.2814339661353933,6.083466025739268e-09,0.8346602573926775,6.083466025739268e-09,1
6.086228435496803e-09,0.1830891790380352,6.086228435496803e-09,0.862284354968032,6.086228435496803e-09,1
6.088572883363602e-09,0.1320345323408521,6.088572883363602e-09,0.8857288336360158,6.088572883363602e-09,1
6.091313343943888e-09,0.1003962200932139,6.091313343943888e-09,0.9131334394388771,6.091313343943888e-09,1
6.09343107388083e-09,0.08388884802311727,6.09343107388083e-09,0.9343107388083051,6.09343107388083e-09,1
6.095862467599164e-09,0.06711243621922122,6.095862467599164e-09,0.9586246759916386,6.095862467599164e-09,1
6.097931233799582e-09,0.05492808695466438,6.097931233799582e-09,0.9793123379958154,6.097931233799582e-09,1
6.1e-09,0.0447558755144053,6.1e-09,1,6.1e-09,1
6.10004591149465e-09,0.04443184240450465,6.10004591149465e-09,1,6.10004591149465e-09,1
6.100137734483949e-09,0.04378159225444208,6.100137734483949e-09,1,6.100137734483949e-09,1
6.100321380462547e-09,0.04251470896610027,6.100321380462547e-09,1,6.100321380462547e-09,1
6.100688672419744e-09,0.04011176713461388,6.100688672419744e-09,1,6.100688672419744e-09,1
6.101423256334138e-09,0.03577382873779063,6.101423256334138e-09,1,6.101423256334138e-09,1
6.102892424162925e-09,0.02865334717670455,6.102892424162925e-09,1,6.102892424162925e-09,1
6.105830759820499e-09,0.01886038149269478,6.105830759820499e-09,1,6.105830759820499e-09,1
6.110179613046698e-09,0.01098306839646853,6.110179613046698e-09,1,6.110179613046698e-09,1
6.115721954628311e-09,0.006435840949947079,6.115721954628311e-09,1,6.115721954628311e-09,1
6.122484720545456e-09,0.004168677535697089,6.122484720545456e-09,1,6.122484720545456e-09,1
6.131438386174682e-09,0.002839297969026338,6.131438386174682e-09,1,6.131438386174682e-09,1
6.144080604387342e-09,0.001986982608000629,6.144080604387342e-09,1,6.144080604387342e-09,1
6.161638223605058e-09,0.001370368413208502,6.161638223605058e-09,1,6.161638223605058e-09,1
6.185307679435624e-09,0.0009602810154578304,6.185307679435624e-09,1,6.185307679435624e-09,1
6.216481326041195e-09,0.0006738232439397401,6.216481326041195e-09,1,6.216481326041195e-09,1
6.25818820320359e-09,0.000478611611223693,6.25818820320359e-09,1,6.25818820320359e-09,1
6.314245420261475e-09,0.0003356201909960823,6.314245420261475e-09,1,6.314245420261475e-09,1
6.389928065264137e-09,0.000238720178613405,6.389928065264137e-09,1,6.389928065264137e-09,1
6.492129364813657e-09,0.0001658961987629008,6.492129364813657e-09,1,6.492129364813657e-09,1
6.630495346402393e-09,0.0001183826755422156,6.630495346402393e-09,1,6.630495346402393e-09,1
6.818448195269591e-09,8.079110752502863e-05,6.818448195269591e-09,1,6.818448195269591e-09,1
7.07457596372315e-09,5.798514951044703e-05,7.07457596372315e-09,1,7.07457596372315e-09,1
7.287287981861575e-09,4.375081667205293e-05,7.287287981861575e-09,1,7.287287981861575e-09,1
7.499999999999999e-09,3.782551032151122e-05,7.499999999999999e-09,1,7.499999999999999e-09,1
7.500585937499999e-09,-0.0001710081242274448,7.500585937499999e-09,1,7.500585937499999e-09,0.9960937500000024
7.501757812499998e-09,-0.0005659611970600019,7.501757812499998e-09,1,7.501757812499998e-09,0.9882812500000074
7.504101562499997e-09,-0.001135236844219368,7.504101562499997e-09,1,7.504101562499997e-09,0.9726562500000172
7.508789062499994e-09,-0.001657911445645698,7.508789062499994e-09,1,7.508789062499994e-09,0.941406250000037
7.515314859273065e-09,-0.001937333796497732,7.515314859273065e-09,1,7.515314859273065e-09,0.8979009381795601
7.527265549985782e-09,-0.00240261170071728,7.527265549985782e-09,1,7.527265549985782e-09,0.8182296667614486
7.546477717457932e-09,-0.003846418710087326,7.546477717457932e-09,1,7.546477717457932e-09,0.6901485502804512
7.555446169980592e-09,-0.004992577035019182,7.555446169980592e-09,1,7.555446169980592e-09,0.6303588667960491
7.573383075025913e-09,-0.008588497335617409,7.573383075025913e-09,1,7.573383075025913e-09,0.510779499827245
7.58633503441121e-09,-0.01093191877663799,7.58633503441121e-09,1,7.58633503441121e-09,0.4244331039252626
7.595575408576286e-09,-0.007014368718641183,7.595575408576286e-09,1,7.595575408576286e-09,0.3628306094914245
7.603510003854982e-09,0.03046832477744875,7.603510003854982e-09,1,7.603510003854982e-09,0.3099333076334508
7.609544007808397e-09,0.1093958256210733,7.609544007808397e-09,1,7.609544007808397e-09,0.2697066146106849
7.614414607241201e-09,0.2082065626057023,7.614414607241201e-09,1,7.614414607241201e-09,0.2372359517253201
7.620527824710511e-09,0.3662108557476035,7.620527824710511e-09,1,7.620527824710511e-09,0.196481168596587
7.624859374261773e-09,0.5042276515380076,7.624859374261773e-09,1,7.624859374261773e-09,0.1676041715881781
7.627653616449879e-09,0.6002525514269724,7.627653616449879e-09,1,7.627653616449879e-09,0.1489758903341372
7.63053418697768e-09,0.698471375870279,7.63053418697768e-09,1,7.63053418697768e-09,0.1297720868154614
7.633231513978375e-09,0.7785688285556924,7.633231513978375e-09,1,7.633231513978375e-09,0.1117899068108273
7.636290711319685e-09,0.8453115379697849,7.636290711319685e-09,1,7.636290711319685e-09,0.09139525786876124
7.639389542018561e-09,0.8918797292563437,7.639389542018561e-09,1,7.639389542018561e-09,0.07073638654291925
7.643203003028706e-09,0.9294167458522087,7.643203003028706e-09,1,7.643203003028706e-09,0.04531331314195242
7.646601501514352e-09,0.9509598526505402,7.646601501514352e-09,1,7.646601501514352e-09,0.0226566565709827
7.649999999999999e-09,0.9651618716013884,7.649999999999999e-09,1,7.649999999999999e-09,0
7.650021619301223e-09,0.9652416163273081,7.650021619301223e-09,1,7.650021619301223e-09,0
7.650064857903672e-09,0.9654030887011363,7.650064857903672e-09,1,7.650064857903672e-09,0
7.650151335108569e-09,0.9657247043090884,7.650151335108569e-09,1,7.650151335108569e-09,0
7.650324289518362e-09,0.966358220953521,7.650324289518362e-09,1,7.650324289518362e-09,0
7.650410766723259e-09,0.966670842739453,7.650410766723259e-09,1,7.650410766723259e-09,0
7.650583721133053e-09,0.9672855874964965,7.650583721133053e-09,1,7.650583721133053e-09,0
7.650929629952641e-09,0.9684801480510113,7.650929629952641e-09,1,7.650929629952641e-09,0
7.651102584362435e-09,0.9690584012048951,7.651102584362435e-09,1,7.651102584362435e-09,0
7.651448493182023e-09,0.9701808476232575,7.651448493182023e-09,1,7.651448493182023e-09,0
7.652140310821198e-09,0.9722846802045571,7.652140310821198e-09,1,7.652140310821198e-09,0
7.653523946099549e-09,0.9759815913970757,7.653523946099549e-09,1,7.653523946099549e-09,0
7.654215763738724e-09,0.9775980230706041,7.654215763738724e-09,1,7.654215763738724e-09,0
7.655599399017075e-09,0.9804229662098433,7.655599399017075e-09,1,7.655599399017075e-09,0
7.658366669573777e-09,0.9848108680771204,7.658366669573777e-09,1,7.658366669573777e-09,0
7.663408451088266e-09,0.9899038320076844,7.663408451088266e-09,1,7.663408451088266e-09,0
7.672213329633288e-09,0.9941812309696798,7.672213329633288e-09,1,7.672213329633288e-09,0
7.682972501353565e-09,0.9961808895626519,7.682972501353565e-09,1,7.682972501353565e-09,0
7.697285695112102e-09,0.9973301724793601,7.697285695112102e-09,1,7.697285695112102e-09,0
7.717435830353329e-09,0.9981314109564335,7.717435830353329e-09,1,7.717435830353329e-09,0
7.747287042229696e-09,0.998733996619382,7.747287042229696e-09,1,7.747287042229696e-09,0
7.786151514144103e-09,0.9991233771544827,7.786151514144103e-09,1,7.786151514144103e-09,0
7.837866650149338e-09,0.9993892498653105,7.837866650149338e-09,1,7.837866650149338e-09,0
7.906447991086214e-09,0.999571504603274,7.906447991086214e-09,1,7.906447991086214e-09,0
7.999694400849696e-09,0.9996994642315924,7.999694400849696e-09,1,7.999694400849696e-09,0
8.126177238705205e-09,0.9997892410166843,8.126177238705205e-09,1,8.126177238705205e-09,0
8.298680208120292e-09,0.99985191941165,8.298680208120292e-09,1,8.298680208120292e-09,0
8.534214353563469e-09,0.9998962386558267,8.534214353563469e-09,1,8.534214353563469e-09,0
8.857343157496489e-09,0.999927104012076,8.857343157496489e-09,1,8.857343157496489e-09,0
9.302077119306878e-09,0.9999492343042631,9.302077119306878e-09,1,9.302077119306878e-09,0
9.915891008446706e-09,0.9999645143617137,9.915891008446706e-09,1,9.915891008446706e-09,0
1.045794550422335e-08,0.9999724464144808,1.045794550422335e-08,1,1.045794550422335e-08,0
1.1e-08,0.9999773792570624,1.1e-08,1,1.1e-08,0
1.1000390625e-08,0.999449626577075,1.1000390625e-08,0.996093750000008,1.1000390625e-08,0
1.1001171875e-08,0.9985020111389856,1.1001171875e-08,0.988281250000024,1.1001171875e-08,0
1.1002734375e-08,0.9971313470791716,1.1002734375e-08,0.9726562500000558,1.1002734375e-08,0
1.100585937499999e-08,0.9955762166054815,1.100585937499999e-08,0.9414062500001197,1.100585937499999e-08,0
1.101143317672497e-08,0.9944472061106212,1.101143317672497e-08,0.8856682327503269,1.101143317672497e-08,0
1.101891741065925e-08,0.9939832862777627,1.101891741065925e-08,0.8108258934074861,1.101891741065925e-08,0
1.103032614719165e-08,0.9939089129443155,1.103032614719165e-08,0.6967385280835443,1.103032614719165e-08,0
1.105057498265999e-08,0.9961800459883237,1.105057498265999e-08,0.4942501734001337,1.105057498265999e-08,0
1.105497210626278e-08,0.9963575073084462,1.105497210626278e-08,0.4502789373721653,1.105497210626278e-08,0
1.106376635346838e-08,0.9971263645023849,1.106376635346838e-08,0.3623364653162285,1.106376635346838e-08,0
1.107055974418137e-08,1.000552757172529,1.107055974418137e-08,0.294402558186261,1.107055974418137e-08,0
1.107704077105522e-08,1.005964376407158,1.107704077105522e-08,0.2295922894478235,1.107704077105522e-08,0
1.10836692162379e-08,1.00871782981064,1.10836692162379e-08,0.1633078376210405,1.10836692162379e-08,0
1.108572323533772e-08,1.00700391563122,1.108572323533772e-08,0.1427676466228405,1.108572323533772e-08,0
1.108733066041541e-08,1.005170537916511,1.108733066041541e-08,0.1266933958459032,1.108733066041541e-08,0
1.108905406884738e-08,1.002308158843189,1.108905406884738e-08,0.1094593115261709,1.108905406884738e-08,0
1.109024576519386e-08,0.9983860685841476,1.109024576519386e-08,0.09754234806140483,1.109024576519386e-08,0
1.109168477012544e-08,0.9853595007892536,1.109168477012544e-08,0.08315229874560348,1.109168477012544e-08,0
1.109281007017729e-08,0.9656526180570368,1.109281007017729e-08,0.07189929822707986,1.109281007017729e-08,0
1.109407709521262e-08,0.9321219172478904,1.109407709521262e-08,0.05922904787380123,1.109407709521262e-08,0
1.109545543204884e-08,0.8863780849844973,1.109545543204884e-08,0.04544567951165335,1.109545543204884e-08,0
1.109685960897631e-08,0.8336970775529793,1.109685960897631e-08,0.03140391023693356,1.109685960897631e-08,0
1.109833433325098e-08,0.7733879469691063,1.109833433325098e-08,0.016656667490209,1.109833433325098e-08,0
1.11e-08,0.6991466124665807,1.11e-08,7.66053886991358e-15,1.11e-08,0
1.110004137816469e-08,0.6973203358189791,1.110004137816469e-08,0,1.110004137816469e-08,0
1.110012413449407e-08,0.6936611031609107,1.110012413449407e-08,0,1.110012413449407e-08,0
1.110028964715283e-08,0.6862706328327909,1.110028964715283e-08,0,1.110028964715283e-08,0
1.110062067247035e-08,0.67119332570996,1.110062067247035e-08,0,1.110062067247035e-08,0
1.110128272310539e-08,0.6398469809315069,1.110128272310539e-08,0,1.110128272310539e-08,0
1.110260682437547e-08,0.5724275077990695,1.110260682437547e-08,0,1.110260682437547e-08,0
1.110525502691563e-08,0.4241824070295747,1.110525502691563e-08,0,1.110525502691563e-08,0
1.110813157539425e-08,0.2654173194730179,1.110813157539425e-08,0,1.110813157539425e-08,0
1.111048190043172e-08,0.1679675520940002,1.111048190043172e-08,0,1.111048190043172e-08,0
1.111252376058409e-08,0.113341059238951,1.111252376058409e-08,0,1.111252376058409e-08,0
1.111552527238815e-08,0.06388459662957692,1.111552527238815e-08,0,1.111552527238815e-08,0
1.111799930711194e-08,0.04056953855807278,1.111799930711194e-08,0,1.111799930711194e-08,0
1.112099714206372e-08,0.02436350818593865,1.112099714206372e-08,0,1.112099714206372e-08,0
1.112444789665048e-08,0.01451614264788216,1.112444789665048e-08,0,1.112444789665048e-08,0
1.11285846610537e-08,0.008732844641171677,1.11285846610537e-08,0,1.11285846610537e-08,0
1.113376984969543e-08,0.005433019961559213,1.113376984969543e-08,0,1.113376984969543e-08,0
1.11405482661098e-08,0.003584354831999521,1.11405482661098e-08,0,1.11405482661098e-08,0
1.11499942902036e-08,0.002480946343527626,1.11499942902036e-08,0,1.11499942902036e-08,0
1.116403184035912e-08,0.001730309522136783,1.116403184035912e-08,0,1.116403184035912e-08,0
1.118548798081305e-08,0.00116988139134969,1.118548798081305e-08,0,1.118548798081305e-08,0
1.121277055221538e-08,0.0008171268909572271,1.121277055221538e-08,0,1.121277055221538e-08,0
