/a X,/a Y,/b X,/b Y,/output X,/output Y
0,0,0,0,0,5.339800128353784e-08
5.859375e-14,0.000390625,5.859375e-14,0,5.859375e-14,7.779322508175779e-06
1.7578125e-13,0.001171875,1.7578125e-13,0,1.7578125e-13,2.574328045353206e-05
4.1015625e-13,0.002734375,4.1015625e-13,0,4.1015625e-13,5.766941359548492e-05
8.7890625e-13,0.005859375,8.7890625e-13,0,8.7890625e-13,0.0001099828558048747
1.81640625e-12,0.012109375,1.81640625e-12,0,1.81640625e-12,0.0001762995736888081
3.69140625e-12,0.024609375,3.69140625e-12,0,3.69140625e-12,0.0002128517433367285
7.44140625e-12,0.049609375,7.44140625e-12,0,7.44140625e-12,0.0001669295000834271
1.392590570958199e-11,0.09283937139721325,1.392590570958199e-11,0,1.392590570958199e-11,5.239667517748805e-05
1.662208165303495e-11,0.1108138776868997,1.662208165303495e-11,0,1.662208165303495e-11,4.57372474825529e-05
2.201443353994088e-11,0.1467628902662725,2.201443353994088e-11,0,2.201443353994088e-11,4.15578182130728e-05
2.471060948339385e-11,0.164737396555959,2.471060948339385e-11,0,2.471060948339385e-11,3.143834070332457e-05
3.010296137029977e-11,0.2006864091353318,3.010296137029977e-11,0,3.010296137029977e-11,3.715766087156905e-05
3.279913731375273e-11,0.2186609154250182,3.279913731375273e-11,0,3.279913731375273e-11,3.939307351180066e-05
3.819148920065866e-11,0.254609928004391,3.819148920065866e-11,0,3.819148920065866e-11,4.710189185538492e-05
4.89761929744705e-11,0.3265079531631367,4.89761929744705e-11,0,4.89761929744705e-11,6.876918887246723e-05
7.05456005220942e-11,0.470304003480628,7.05456005220942e-11,0,7.05456005220942e-11,2.856110839385215e-05
8.107542318496071e-11,0.5405028212330714,8.107542318496071e-11,0,8.107542318496071e-11,-0.0003145445714239622
9.138359820107335e-11,0.6092239880071556,9.138359820107335e-11,0,9.138359820107335e-11,-0.001270388840387426
1.041096097112659e-10,0.6940640647417724,1.041096097112659e-10,0,1.041096097112659e-10,-0.004195721786648465
1.141340997455236e-10,0.7608939983034907,1.141340997455236e-10,0,1.141340997455236e-10,-0.009681149466445767
1.238963123366869e-10,0.8259754155779128,1.238963123366869e-10,0,1.238963123366869e-10,-0.03014556192709284
1.316377026060434e-10,0.8775846840402892,1.316377026060434e-10,0,1.316377026060434e-10,-0.00419118741818973
1.335727489621595e-10,0.8904849930810635,1.335727489621595e-10,0,1.335727489621595e-10,0.05156979757968622
1.352359265001321e-10,0.9015728433342137,1.352359265001321e-10,0,1.352359265001321e-10,0.1501525471295863
1.369130740065835e-10,0.9127538267105564,1.369130740065835e-10,0,1.369130740065835e-10,0.2945747828661555
1.384073622994678e-10,0.9227157486631188,1.384073622994678e-10,0,1.384073622994678e-10,0.4524142295669362
1.402482162496176e-10,0.9349881083307838,1.402482162496176e-10,0,1.402482162496176e-10,0.6648393296786607
1.418047070340794e-10,0.9453647135605293,1.418047070340794e-10,0,1.418047070340794e-10,0.8309168975476232
1.430979891721092e-10,0.9539865944807278,1.430979891721092e-10,0,1.430979891721092e-10,0.917766674565322
1.440999063597334e-10,0.9606660423982226,1.440999063597334e-10,0,1.440999063597334e-10,0.9473088644574861
1.450102218433876e-10,0.9667348122892507,1.450102218433876e-10,0,1.450102218433876e-10,0.961851397013622
1.459508445049943e-10,0.9730056300332955,1.459508445049943e-10,0,1.459508445049943e-10,0.9717665090035291
1.471388126687301e-10,0.9809254177915341,1.471388126687301e-10,0,1.471388126687301e-10,0.9799060428587819
1.485694063343651e-10,0.990462708895767,1.485694063343651e-10,0,1.485694063343651e-10,0.9861779628587577
1.5e-10,1,1.5e-10,0,1.5e-10,0.990241203911405
1.500111765130128e-10,1,1.500111765130128e-10,0,1.500111765130128e-10,0.9902649431944568
1.500335295390383e-10,1,1.500335295390383e-10,0,1.500335295390383e-10,0.9903124196357738
1.500782355910894e-10,1,1.500782355910894e-10,0,1.500782355910894e-10,0.9904069070270031
1.50100588617115e-10,1,1.50100588617115e-10,0,1.50100588617115e-10,0.9904537698292335
1.501452946691661e-10,1,1.501452946691661e-10,0,1.501452946691661e-10,0.9905468864368734
1.502347067732683e-10,1,1.502347067732683e-10,0,1.502347067732683e-10,0.9907304947692602
1.504135309814728e-10,1,1.504135309814728e-10,0,1.504135309814728e-10,0.9910874356799405
1.507711793978817e-10,1,1.507711793978817e-10,0,1.507711793978817e-10,0.9917619215943269
1.514864762306995e-10,1,1.514864762306995e-10,0,1.514864762306995e-10,0.9929658059071553
1.529170698963351e-10,1,1.529170698963351e-10,0,1.529170698963351e-10,0.9948841432860343
1.557782572276062e-10,1,1.557782572276062e-10,0,1.557782572276062e-10,0.9973318587574498
1.597352479245049e-10,1,1.597352479245049e-10,0,1.597352479245049e-10,0.9989274746530445
1.643774393482495e-10,1,1.643774393482495e-10,0,1.643774393482495e-10,0.9996243830288044
1.699279231717682e-10,1,1.699279231717682e-10,0,1.699279231717682e-10,0.9998719720860919
1.772419960930501e-10,1,1.772419960930501e-10,0,1.772419960930501e-10,0.9999531547143315
1.876433377866421e-10,1,1.876433377866421e-10,0,1.876433377866421e-10,0.9999750878180999
2.051644911226541e-10,1,2.051644911226541e-10,0,2.051644911226541e-10,0.9999870666236862
2.302408841935544e-10,1,2.302408841935544e-10,0,2.302408841935544e-10,0.9999940120939228
2.629012295461512e-10,1,2.629012295461512e-10,0,2.629012295461512e-10,0.9999965718049595
3.052788925796052e-10,1,3.052788925796052e-10,0,3.052788925796052e-10,0.9999984988677649
3.61691389633597e-10,1,3.61691389633597e-10,0,3.61691389633597e-10,0.9999988650167468
4.376991617408897e-10,1,4.376991617408897e-10,0,4.376991617408897e-10,0.9999996791554798
5.40196470253778e-10,1,5.40196470253778e-10,0,5.40196470253778e-10,0.9999995594995144
6.782753225680302e-10,1,6.782753225680302e-10,0,6.782753225680302e-10,1.000000004414084
8.648475743360848e-10,1,8.648475743360848e-10,0,8.648475743360848e-10,0.9999997614799707
1.117748503183687e-09,1,1.117748503183687e-09,0,1.117748503183687e-09,1.000000090670859
