/a X,/a Y,/b X,/b Y,/output X,/output Y
2.010008752833779e-08,1,2.010008752833779e-08,1,2.010008752833779e-08,0.1765919223576533
2.010012642982125e-08,1,2.010012642982125e-08,1,2.010012642982125e-08,0.1797277412893678
2.010020423278817e-08,1,2.010020423278817e-08,1,2.010020423278817e-08,0.1860535080745406
2.010035983872201e-08,1,2.010035983872201e-08,1,2.010035983872201e-08,0.1989185589244676
2.010067105058968e-08,1,2.010067105058968e-08,1,2.010067105058968e-08,0.2254697872859618
2.010129347432504e-08,1,2.010129347432504e-08,1,2.010129347432504e-08,0.2815753632682508
2.010253832179576e-08,1,2.010253832179576e-08,1,2.010253832179576e-08,0.4032977023007275
2.010424717555646e-08,1,2.010424717555646e-08,1,2.010424717555646e-08,0.5815327172321152
2.01059196094255e-08,1,2.01059196094255e-08,1,2.01059196094255e-08,0.751001965282618
2.010746564310242e-08,1,2.010746564310242e-08,1,2.010746564310242e-08,0.8733791389931401
2.010872981366977e-08,1,2.010872981366977e-08,1,2.010872981366977e-08,0.9286492007029363
2.01099752668324e-08,1,2.01099752668324e-08,1,2.01099752668324e-08,0.9557594170143562
2.011134831838394e-08,1,2.011134831838394e-08,1,2.011134831838394e-08,0.9722121352630374
2.011258904361702e-08,1,2.011258904361702e-08,1,2.011258904361702e-08,0.9810785704442709
2.011430387507116e-08,1,2.011430387507116e-08,1,2.011430387507116e-08,0.9882838997611265
2.011662416026626e-08,1,2.011662416026626e-08,1,2.011662416026626e-08,0.9933330713214875
2.011959851251553e-08,1,2.011959851251553e-08,1,2.011959851251553e-08,0.9963508003220564
2.012353782278565e-08,1,2.012353782278565e-08,1,2.012353782278565e-08,0.9981584445015862
2.01290087462235e-08,1,2.01290087462235e-08,1,2.01290087462235e-08,0.9992308661680414
2.013549268414366e-08,1,2.013549268414366e-08,1,2.013549268414366e-08,0.9997405507849796
2.014330852982981e-08,1,2.014330852982981e-08,1,2.014330852982981e-08,0.9999344973808557
2.01532879695007e-08,1,2.01532879695007e-08,1,2.01532879695007e-08,0.9999910300423642
2.016750565230806e-08,1,2.016750565230806e-08,1,2.016750565230806e-08,1.000000463016352
2.019008608603268e-08,1,2.019008608603268e-08,1,2.019008608603268e-08,0.99999966166014
2.023246866355454e-08,1,2.023246866355454e-08,1,2.023246866355454e-08,1.000000171253237
2.031723381859826e-08,1,2.031723381859826e-08,1,2.031723381859826e-08,0.9999997714924778
2.04867641286857e-08,1,2.04867641286857e-08,1,2.04867641286857e-08,1.000000138924283
